aircraft,target,weather,time_of_day,destruction_probability,civilian_risk,mission_rating
B-2,wooden_house,clear,early_morning,90.2,10.5,A-RANK
B-2,wooden_house,clear,morning,90.2,36.8,B-RANK
B-2,wooden_house,clear,afternoon,90.2,52.5,C-RANK
B-2,wooden_house,clear,evening,90.2,42.0,C-RANK
B-2,wooden_house,clear,night,90.2,21.0,B-RANK
B-2,wooden_house,light_rain,early_morning,81.1,10.5,B-RANK
B-2,wooden_house,light_rain,morning,81.1,36.8,B-RANK
B-2,wooden_house,light_rain,afternoon,81.1,52.5,C-RANK
B-2,wooden_house,light_rain,evening,81.1,42.0,C-RANK
B-2,wooden_house,light_rain,night,81.1,21.0,B-RANK
B-2,wooden_house,heavy_rain,early_morning,63.1,10.5,C-RANK
B-2,wooden_house,heavy_rain,morning,63.1,36.8,C-RANK
B-2,wooden_house,heavy_rain,afternoon,63.1,52.5,C-RANK
B-2,wooden_house,heavy_rain,evening,63.1,42.0,C-RANK
B-2,wooden_house,heavy_rain,night,63.1,21.0,C-RANK
B-2,wooden_house,windy,early_morning,76.6,10.5,B-RANK
B-2,wooden_house,windy,morning,76.6,36.8,B-RANK
B-2,wooden_house,windy,afternoon,76.6,52.5,C-RANK
B-2,wooden_house,windy,evening,76.6,42.0,C-RANK
B-2,wooden_house,windy,night,76.6,21.0,B-RANK
B-2,wooden_house,storm,early_morning,45.1,10.5,D-RANK
B-2,wooden_house,storm,morning,45.1,36.8,D-RANK
B-2,wooden_house,storm,afternoon,45.1,52.5,D-RANK
B-2,wooden_house,storm,evening,45.1,42.0,D-RANK
B-2,wooden_house,storm,night,45.1,21.0,D-RANK
B-2,wooden_house,fog,early_morning,54.1,10.5,D-RANK
B-2,wooden_house,fog,morning,54.1,36.8,D-RANK
B-2,wooden_house,fog,afternoon,54.1,52.5,D-RANK
B-2,wooden_house,fog,evening,54.1,42.0,D-RANK
B-2,wooden_house,fog,night,54.1,21.0,D-RANK
B-2,concrete_bunker,clear,early_morning,35.3,2.1,F-RANK
B-2,concrete_bunker,clear,morning,35.3,7.3,F-RANK
B-2,concrete_bunker,clear,afternoon,35.3,10.5,F-RANK
B-2,concrete_bunker,clear,evening,35.3,8.4,F-RANK
B-2,concrete_bunker,clear,night,35.3,4.2,F-RANK
B-2,concrete_bunker,light_rain,early_morning,31.8,2.1,F-RANK
B-2,concrete_bunker,light_rain,morning,31.8,7.3,F-RANK
B-2,concrete_bunker,light_rain,afternoon,31.8,10.5,F-RANK
B-2,concrete_bunker,light_rain,evening,31.8,8.4,F-RANK
B-2,concrete_bunker,light_rain,night,31.8,4.2,F-RANK
B-2,concrete_bunker,heavy_rain,early_morning,24.7,2.1,F-RANK
B-2,concrete_bunker,heavy_rain,morning,24.7,7.3,F-RANK
B-2,concrete_bunker,heavy_rain,afternoon,24.7,10.5,F-RANK
B-2,concrete_bunker,heavy_rain,evening,24.7,8.4,F-RANK
B-2,concrete_bunker,heavy_rain,night,24.7,4.2,F-RANK
B-2,concrete_bunker,windy,early_morning,30.0,2.1,F-RANK
B-2,concrete_bunker,windy,morning,30.0,7.3,F-RANK
B-2,concrete_bunker,windy,afternoon,30.0,10.5,F-RANK
B-2,concrete_bunker,windy,evening,30.0,8.4,F-RANK
B-2,concrete_bunker,windy,night,30.0,4.2,F-RANK
